,rownum,adult,budget,genres,production_companies,release_date,revenue,runtime,DirectorHistoryGross,ActorHistoryAverage_Gross,production_history_gross,genre_10752,genre_12,genre_14,genre_16,genre_80,genre_18,genre_10769,genre_10770,genre_27,genre_28,genre_10402,genre_35,genre_36,genre_99,genre_37,genre_878,genre_9648,genre_53,genre_10749,genre_10751
28,68,0,3500000.0,[35],[12],1995-04-26,28215918.0,91.0,1.0,20057855962.0,1108319343.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,69,0,19000000.0,"[27, 28, 53, 80]","[59, 7405, 11705, 53009]",1996-01-19,25836616.0,108.0,25405445.0,2863521418.0,62653802.5,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
30,70,0,50000000.0,"[28, 53, 10749]","[1885, 6194]",1995-11-03,11534477.0,91.0,1.0,3513125493.0,2863699615.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
31,74,0,15000000.0,"[35, 10751]","[6194, 10210]",1996-01-26,2042530.0,90.0,1.0,993081896.0,3159614041.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
32,75,0,20000000.0,"[27, 878]","[3388, 4899, 7958, 23096, 23097, 23098]",1995-09-08,5781885.0,108.0,1.0,22997479085.0,0.16666666666666666,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
33,80,0,8000000.0,"[18, 80]",[14],1995-12-01,529766.0,116.0,1.0,26619043303.0,442090076.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,85,0,38000000.0,"[28, 18]","[915, 1644, 1645]",1996-02-02,10300000.0,129.0,52552399.0,1812484809.0,425562156.3333333,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35,88,0,8169363.0,"[80, 18, 53]",[4],1995-11-22,8175346.0,90.0,1.0,1595045557.0,3116033369.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,90,0,47000000.0,"[18, 27, 53, 10749]","[559, 18737]",1996-02-23,12379402.0,104.0,1.0,27144919315.0,1085241619.5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
37,91,0,14000000.0,"[35, 27, 10749]",[4],1995-10-26,19800000.0,100.0,18090181.0,1193388172.0,3096233369.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
